Facets,raw_value,normalized_value,extracted_id,facet_type,conversation_observable,sensitivity,scoring_definition,abstention_reason
Inattentiveness,Inattentiveness,inattentiveness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Unassertiveness,Unassertiveness,unassertiveness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Decision-making decisiveness,Decision-making decisiveness,decision-making decisiveness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Sense-of-coherence score,Sense-of-coherence score,sense-of-coherence score,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Justice-mindedness,Justice-mindedness,justice-mindedness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Subscription count,Subscription count,subscription count,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Depression Symptoms,Depression Symptoms,depression symptoms,,clinical_symptom,conditional,high,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",Only score when the person explicitly provides sufficient conversational evidence; do not diagnose.
Spatial perception,Spatial perception,spatial perception,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Brevity,Brevity,brevity,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Orderliness,Orderliness,orderliness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Multiculturalism,Multiculturalism,multiculturalism,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Creative risk-taking tendency,Creative risk-taking tendency,creative risk-taking tendency,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Inefficiency,Inefficiency,inefficiency,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Network basics,Network basics,network basics,,skill_knowledge,conditional,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Alphabetical filing skills,Alphabetical filing skills,alphabetical filing skills,,skill_knowledge,conditional,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Work Styles,Work Styles,work styles,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Character strength: Perseverance,Character strength: Perseverance,character strength: perseverance,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Competition,Competition,competition,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Logical Sequence Identification,Logical Sequence Identification,logical sequence identification,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Sustainable-transport usage,Sustainable-transport usage,sustainable-transport usage,,behavioral_preference,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Hardworking,Hardworking,hardworking,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Emotional-intelligence measure: Impulsiveness,Emotional-intelligence measure: Impulsiveness,emotional-intelligence measure: impulsiveness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Dishonesty,Dishonesty,dishonesty,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Preferred epistemology,Preferred epistemology,preferred epistemology,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Memory for Sounds,Memory for Sounds,memory for sounds,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Sportsmanship rating,Sportsmanship rating,sportsmanship rating,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Immaturity,Immaturity,immaturity,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Health-literacy level,Health-literacy level,health-literacy level,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Estimating Calculations,Estimating Calculations,estimating calculations,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Depression: Feelings of sadness and hopelessness,Depression: Feelings of sadness and hopelessness,depression: feelings of sadness and hopelessness,,clinical_symptom,conditional,high,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",Only score when the person explicitly provides sufficient conversational evidence; do not diagnose.
Synthesis of information,Synthesis of information,synthesis of information,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Leadership Potential:,Leadership Potential:,leadership potential:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Ethical standards,Ethical standards,ethical standards,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
High-spiritedness,High-spiritedness,high-spiritedness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Critical reasoning,Critical reasoning,critical reasoning,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Sleep-disorder diagnosis,Sleep-disorder diagnosis,sleep-disorder diagnosis,,clinical_symptom,conditional,high,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",Only score when the person explicitly provides sufficient conversational evidence; do not diagnose.
Listening Skills Subcomponents:,Listening Skills Subcomponents:,listening skills subcomponents:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Collaboration,Collaboration,collaboration,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Precision of Movements,Precision of Movements,precision of movements,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Social Boldness,Social Boldness,social boldness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Auditory memory,Auditory memory,auditory memory,,cognitive_ability_test,false,medium,,Requires an administered cognitive or ability assessment.
Psychomotor Ability Subcomponents:,Psychomotor Ability Subcomponents:,psychomotor ability subcomponents:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Organized lifestyle,Organized lifestyle,organized lifestyle,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Skill-endorsements count,Skill-endorsements count,skill-endorsements count,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Mysteriousness,Mysteriousness,mysteriousness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Cultural Identity,Cultural Identity,cultural identity,,biographical_external,false,medium,,Requires explicit biographical or external evidence.
Intrinsic Motivation,Intrinsic Motivation,intrinsic motivation,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Impartial-mindedness,Impartial-mindedness,impartial-mindedness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Burnout Symptoms,Burnout Symptoms,burnout symptoms,,clinical_symptom,conditional,high,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",Only score when the person explicitly provides sufficient conversational evidence; do not diagnose.
Holiness,Holiness,holiness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Selfcontrol,Selfcontrol,selfcontrol,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
SelfDirectedness,SelfDirectedness,selfdirectedness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Encouraging participation,Encouraging participation,encouraging participation,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Impracticalness,Impracticalness,impracticalness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Meeting Deadlines,Meeting Deadlines,meeting deadlines,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Data Analysis,Data Analysis,data analysis,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Social Interaction Skills,Social Interaction Skills,social interaction skills,,skill_knowledge,conditional,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Psychoticism,Psychoticism,psychoticism,,clinical_symptom,conditional,high,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",Only score when the person explicitly provides sufficient conversational evidence; do not diagnose.
Ethical leadership rating,Ethical leadership rating,ethical leadership rating,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Slothfulness,Slothfulness,slothfulness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Happiness,Happiness,happiness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Contentment Levels,Contentment Levels,contentment levels,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Neuroticism,Neuroticism,neuroticism,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Desire for excellence,Desire for excellence,desire for excellence,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Perceiving,Perceiving,perceiving,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Liberalism,Liberalism,liberalism,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Inversion comfort level,Inversion comfort level,inversion comfort level,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Affection,Affection,affection,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Numeric Filing Skills,Numeric Filing Skills,numeric filing skills,,skill_knowledge,conditional,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Martyrdom,Martyrdom,martyrdom,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Parathyroid-hormone level,Parathyroid-hormone level,parathyroid-hormone level,,medical_biological,false,high,,"Requires medical, laboratory, genetic, or biological evidence."
Seeking approval,Seeking approval,seeking approval,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Judging (J):,Judging (J):,judging (j):,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Big Five facet Openness – Artistic Interests,Big Five facet Openness – Artistic Interests,big five facet openness – artistic interests,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Psychological construct: Operant-Learning rate,Psychological construct: Operant-Learning rate,psychological construct: operant-learning rate,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Psychological construct: Need for Achievement level,Psychological construct: Need for Achievement level,psychological construct: need for achievement level,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Cantankerousness,Cantankerousness,cantankerousness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Material properties knowledge,Material properties knowledge,material properties knowledge,,skill_knowledge,conditional,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Hostility,Hostility,hostility,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Independence,Independence,independence,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
800. Sufi practice: Sufi retreat attendance count,800. Sufi practice: Sufi retreat attendance count,800. sufi practice: sufi retreat attendance count,800.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Chromatin-accessibility score,Chromatin-accessibility score,chromatin-accessibility score,,medical_biological,false,high,,"Requires medical, laboratory, genetic, or biological evidence."
644. Spiritual virtue: Humility practice index,644. Spiritual virtue: Humility practice index,644. spiritual virtue: humility practice index,644.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
754. I Ching hexagram 36 resonance level,754. I Ching hexagram 36 resonance level,754. i ching hexagram 36 resonance level,754.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Well-being component: Engagement,Well-being component: Engagement,well-being component: engagement,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Need for social interaction,Need for social interaction,need for social interaction,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Peer-collaboration hours,Peer-collaboration hours,peer-collaboration hours,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Arts and Humanities,Arts and Humanities,arts and humanities,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
596. Religious practice: Quran khatam cycles per year,596. Religious practice: Quran khatam cycles per year,596. religious practice: quran khatam cycles per year,596.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
926. Bahá’í spiritual metric: Ridván festival participation,926. Bahá’í spiritual metric: Ridván festival participation,926. bahá’í spiritual metric: ridván festival participation,926.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
Compassion,Compassion,compassion,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Information Retention,Information Retention,information retention,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Eye-contact duration,Eye-contact duration,eye-contact duration,,behavioral_preference,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Self-righteousness,Self-righteousness,self-righteousness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
General Mood and Attitude,General Mood and Attitude,general mood and attitude,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Serotonin transporter availability,Serotonin transporter availability,serotonin transporter availability,,medical_biological,false,high,,"Requires medical, laboratory, genetic, or biological evidence."
Contribution to Group Goals,Contribution to Group Goals,contribution to group goals,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Dignity,Dignity,dignity,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
HEXACO Personality Inventory Facets:,HEXACO Personality Inventory Facets:,hexaco personality inventory facets:,,malformed_header,false,low,,Header-like or malformed entry; excluded from scoring.
Evaluating Solutions,Evaluating Solutions,evaluating solutions,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Input,Input,input,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Discreteness,Discreteness,discreteness,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
607. Energy-healing practice: Reiki sessions / year,607. Energy-healing practice: Reiki sessions / year,607. energy-healing practice: reiki sessions / year,607.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
692. Astrology: Rising sign is Scorpio,692. Astrology: Rising sign is Scorpio,692. astrology: rising sign is scorpio,692.0,astrology_pseudoscience,false,medium,,Cannot be established from ordinary conversation.
Character strength: Social Intelligence,Character strength: Social Intelligence,character strength: social intelligence,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Bravery,Bravery,bravery,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Childhood Experiences,Childhood Experiences,childhood experiences,,biographical_external,false,medium,,Requires explicit biographical or external evidence.
Data-sharing consent level,Data-sharing consent level,data-sharing consent level,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Vision-check frequency,Vision-check frequency,vision-check frequency,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Physical-violence exposure,Physical-violence exposure,physical-violence exposure,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Macronutrient ratio: fat,Macronutrient ratio: fat,macronutrient ratio: fat,,behavioral_log_count,false,low,,Requires quantified behavioral or activity data.
Cooking and Culinary Arts,Cooking and Culinary Arts,cooking and culinary arts,,skill_knowledge,conditional,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Language use,Language use,language use,,skill_knowledge,conditional,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Dance-style mastery diversity,Dance-style mastery diversity,dance-style mastery diversity,,skill_knowledge,conditional,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Satya Adherence,Satya Adherence,satya adherence,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Ethnocentrism,Ethnocentrism,ethnocentrism,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Emotional Boundaries,Emotional Boundaries,emotional boundaries,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Creativity in solutions,Creativity in solutions,creativity in solutions,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
Psychological construct: Hope scale,Psychological construct: Hope scale,psychological construct: hope scale,,personality_trait,true,low,"1=very low evidence, 2=low evidence, 3=moderate evidence, 4=strong evidence, 5=very strong evidence",
565. Practice frequency: Walking meditation,565. Practice frequency: Walking meditation,565. practice frequency: walking meditation,565.0,spiritual_religious_practice,false,medium,,Requires explicit information about the relevant practice or external activity.
